jobTitle,jobCompany,jobLocation,jobPostDate,today,jobSalary,jobSummary,jobURL
PRIORITIZATION LEAD,Ministry of the Solicitor General,"Toronto, ON",7 days ago,2021-01-21,"$79,007 - $114,834 a year","Do you have a passion for transforming government services? Do you want to play a key role in modernizing Ontario's Justice System? If so, consider this…",http://indeed.com/rc/clk?jk=cffae9f5540b9fb6&fccid=3b5a4693a17cccb0&vjs=3
COURT CLERK AND REGISTRAR (IRREGULAR ON-CALL),Ministry of the Attorney General,"Sault Ste. Marie, ON",9 days ago,2021-01-21,$24.28 - $28.23 an hour,"Valid driver's licence (travel to other satellite court locations as required.
Proficiency with computer applications (word processing, presentations,…",http://indeed.com/rc/clk?jk=078d2f271a23a572&fccid=e574dee64b66829e&vjs=3
Dining Room Server/ Deckhands,Ontario Waterway Cruises Inc.,"Orillia, ON",2 days ago,2021-01-21,$16.37 an hour,"Must also hold Smart Serve certification and Provincial Health and Safety At Work certification.
Must also hold Smart Serve certification and Provincial Health…",http://indeed.com/company/Ontario-Waterway-Cruises/jobs/Dining-Room-Server-cc728b1ccbf005ae?fccid=7cd09c53b9d5ff31&vjs=3
PT Sales Associate,Tory Burch,"Outlet, ON",Just posted,2021-01-21,,"Demonstrate a high degree of maturity and integrity.
Have a proper understanding of the radio communication and all technology tools used in-store, using proper…",http://indeed.com/rc/clk?jk=bd73cce2106df239&fccid=fdf755343f0d328b&vjs=3
Mixer / Assembler; Casual to Permanent,McCormick,"London, ON",30+ days ago,2021-01-21,$21.14 an hour,"Global and annual Charity Day with proceeds going to local charities.
3 weeks of paid vacation in your first full year of full time regular employment.",http://indeed.com/rc/clk?jk=a7e8c32d97dbc4b3&fccid=1a901e99932a1f24&vjs=3
Production Associate,The Sansin Corporation,"Strathroy, ON",1 day ago,2021-01-21,$17.50 an hour,"COVID-19 considerations: Mandatory masks, hand sanitizer, employee capacity in lunch room, screening before entry.
Dispense product using filling machine.",http://indeed.com/rc/clk?jk=ae1679c49a44906e&fccid=bd1d7a7c4fb22a6c&vjs=3
receptionist,Evertz Microsystems Ltd.,"Burlington, ON",8 days ago,2021-01-21,$14.25 an hour,"Answer telephone and relay telephone calls and messages.
Perform clerical duties, such as filing and sorting and distributing mail.
1 to less than 7 months.",http://indeed.com/rc/clk?jk=0fb86b56a32ef39f&fccid=32674c983a7ebfb9&vjs=3
Business Intelligence Analyst,Clearbanc,Ontario,6 days ago,2021-01-21,,"Supporting cross-functional groups to answer strategic questions using analytics and data to help make better decisions (product, partnerships, sales, marketing…",http://indeed.com/rc/clk?jk=d131932a24a12a35&fccid=1005cea9bf029d17&vjs=3
"Freelance Art Directors, Graphic Designers, Production Designers and Copywriters",Central Station,"Toronto, ON",30+ days ago,2021-01-21,,"All the fun and only some of the commitment! Send along a CV and portfolio if you’re interested in freelancing with us. They’ll be reviewed by the higher-ups,…",http://indeed.com/rc/clk?jk=ec96eecb524c4436&fccid=fcd3a78aec0e01ab&vjs=3
Permanent Part-Time Production Workers,London Hospital Linen Service,"London, ON",Today,2021-01-21,$16 an hour,"These are permanent Part-Time and Full-Time positions with a starting hourly wage rate of $16.00 per hour.
There are shift premiums for both Full-Time and Part…",http://indeed.com/rc/clk?jk=c14b1aae4750d3a2&fccid=355ecd71ca2b3e49&vjs=3
Videographer & Editor,Vendetta Media Group,"Whitby, ON",1 day ago,2021-01-21,,"Well rounded knowledge of various forms of audio/camera equipment.
Contribute to on-going expansion of internal and external creative content.",http://indeed.com/company/Vendetta-Media-Group/jobs/Videographer-Editor-06769d951d26e012?fccid=2c81490da2129902&vjs=3
FIREFIGHTER OPERATION,City of Toronto,"Toronto, ON",1 day ago,2021-01-21,$30.79 an hour,"Commitment to volunteerism and community involvement as demonstrated by experience volunteering in social/civil/community events and initiatives, non-profit…",http://indeed.com/rc/clk?jk=11c0850046d67443&fccid=f2087b51205d4920&vjs=3
Freedom of Information & Privacy Administrator (Perm),Toronto District School Board,"Toronto, ON",1 day ago,2021-01-21,,Provide leadership in fostering equity and inclusiveness in the development and implementation of programs and services; and.,http://indeed.com/rc/clk?jk=7d643a5bb5bb55ee&fccid=3d0a305417858e88&vjs=3
Steel Worker Positions,"YMCA of Hamilton, Burlington, Brantford","Kitchener-Waterloo, ON",Today,2021-01-21,$17 - $19 an hour,"The program is designed to train you for an entry-level, long term, sustainable career in the Steel Industry.
Ø 18 years of age or older.","http://indeed.com/company/YMCA-of-Hamilton,-Burlington,-Brantford/jobs/Steel-Worker-Position-8a70e55686386d0a?fccid=a5604de757c2d670&vjs=3"
"labourer, packaging",Greenwood Mushroom Farm,"Ashburn, ON",2 days ago,2021-01-21,$14.25 an hour,"No degree, certificate or diploma.
Sort, pack, crate and package materials and products.
Check and weigh materials and products.
Up to 23 kg (50 lbs).",http://indeed.com/rc/clk?jk=28c25540816e0db7&fccid=c362daf635f5ad85&vjs=3
"Elevator Operator – Maidstone, Ontario",Archer Daniels Midland Company,Ontario,1 day ago,2021-01-21,,"Work consists of grain handling – shipping and receiving grain commodities via truck, grading incoming commodities, cleaning bins, operating grain dryers,…",http://indeed.com/rc/clk?jk=98c06152c6516e32&fccid=a46683ec51ead49e&vjs=3
"Full-Time/Part-Time Positions at Food Basics in Ottawa, ON!",METRO INC.,"Ottawa, ON",30+ days ago,2021-01-21,,Seeking someone with an open availability (specifically for days & evenings).,http://indeed.com/rc/clk?jk=ea2271b036f92692&fccid=0e72716ba678c6fb&vjs=3
Academic Progress Manager (Toronto),InGenius Prep,"Toronto, ON",1 day ago,2021-01-21,"$40,000 - $50,000 a year","Enhance communication between parents, students, former admission officers, and counselors; build and maintain trustworthy relationships with families and…",http://indeed.com/company/InGenius-Prep/jobs/Academic-Progress-Manager-2392a17f3d658bdf?fccid=ef0c408fea620b96&vjs=3
"Respite Security Protection Specialist - Mississauga, Ontario",ASP Incorporated,"Mississauga, ON",1 day ago,2021-01-21,$18 - $22 an hour,"First Aid, CPR and AED certification is preferred.
Use of force certification is preferred.
Monitoring and patrolling assigned areas, that includes responding…",http://indeed.com/company/ASP-Incorporated/jobs/Respite-Security-Protection-Specialist-48dfe4c5360fba6a?fccid=11c533deabdfd911&vjs=3
Housekeeping / Laundry Aide - Pleasant Manor,Radiant Care,"St. Catharines, ON",Just posted,2021-01-21,,"Performs housekeeping duties, cleaning tasks and assigned custodial duties ensuring the home environment meets physical, psychological, social and spiritual…",http://indeed.com/rc/clk?jk=2fb451cec67e5cab&fccid=4df4eef5748d7c60&vjs=3
Housekeeping Aide,ESM Solutions,"Listowel, ON",8 days ago,2021-01-21,$30 an hour,"Willing to work in a hospital/nursing home (can be utilized in patient rooms/washrooms).
Must have negative covid test completed within the last seven (7) days.…",http://indeed.com/rc/clk?cmp=ESM%2FXpera&ti=Housekeeping+Aide&jk=7c40976342731b0a&fccid=65b1cb0063c7c00a&vjs=3
Unit Attendant,Guelph General Hospital,"Guelph, ON",7 days ago,2021-01-21,$22.33 - $22.91 an hour,"Demonstrated commitment to excellent customer service when interacting with patients, families, colleagues and physicians.
Masks and hand sanitizer is provided.",http://indeed.com/company/Guelph-General-Hospital/jobs/Unit-Attendant-c30b42cd46577acd?fccid=efcc78144054687f&vjs=3
Administrative Assistant,Community Living Dufferin,"East Garafraxa, ON",3 days ago,2021-01-21,,"2-year community college diploma.
Accuracy and efficiency in typing, keypunch, and calculator skills.
Skilled in coordinating financial information to ensure…",http://indeed.com/company/Community-Living-Dufferin/jobs/Administrative-Assistant-89d6497719ac84a0?fccid=ed2825b93fff1fdb&vjs=3
Aluminum Extrusion Stretcher Operator,519-623-2511,"Cambridge, ON",Today,2021-01-21,,"Cut sample for first off and record all tolerable dimensions.
Cut first-off after stretching.
Ensure parts manufactured abide by the current Quality Standards.",http://indeed.com/company/519--623--2511/jobs/Aluminum-Extrusion-Stretcher-Operator-c558b79bafa400d9?fccid=8d47db614d0e57af&vjs=3
General Labourer,Truckworx Inc./ Pro-Fit Liners & Tarps,"Cambridge, ON",Just posted,2021-01-21,$21 an hour,"The job requirements would be installing hydraulics / electrical / air systems/ some welding etc.
We do have signs posted on doors for customers/visitors.",http://indeed.com/company/Truckworx-Inc./jobs/General-Labourer-4762a79bb01df6d7?fccid=49d58c2feb1e5af7&vjs=3
Delivery Drivers,Pizza Hut,"Hamilton, ON",9 days ago,2021-01-21,,"Valid driver’s license, insurance, and reliable vehicle.
We’ll pay you cash every day to cruise around in your mobile office – your car – listening to your own…",http://indeed.com/company/Franchise-Management-Inc./jobs/Delivery-Driver-c18670b8a87ddbb8?fccid=2c0d78c5a65e1601&vjs=3
Library Circulation Clerk,Midland Public Library,"Midland, ON",16 days ago,2021-01-21,$18.18 - $22.72 an hour,"Responsible for the daily handling of regular Library materials including, but not limited to: checking in and out, sorting and re-shelving, processing holds,…",http://indeed.com/company/Midland-Public-Library/jobs/Library-Circulation-Clerk-0a787fa83e5c04ba?fccid=7f1a5a12dd0e3b4a&vjs=3
Meter Reader,Utility Meter Reading Services Limited,"Barrie, ON",1 day ago,2021-01-21,$15 an hour,"Must have a valid drivers license and insurance.
Must have a car in good working order.
Job Types: Full-time, Permanent.
Social distancing guidelines in place.",http://indeed.com/company/UMRS-Ltd/jobs/Meter-Reader-8db42b2e220f59db?fccid=a676c80395bbaa2c&vjs=3
Yard Manager,Summit Access Solutions Inc,"Caledon, ON",Today,2021-01-21,"$65,000 - $80,000 a year","The position will consist of keeping track of inventory, stock of scaffold equipment, ordering material, scheduling trucking for pick ups and deliveries,…",http://indeed.com/company/Summit-Access-Solutions-Inc/jobs/Yard-Manager-09685f92bdefb336?fccid=7b5082e7a967ef5a&vjs=3
Endoscopy Assistant - Endoscopy Unit,Trillium Health Partners,"Mississauga, ON",2 days ago,2021-01-21,,Responsibilities include: assisting nursing staff with scope handling post procedures to prepare for the reprocessing phase; cleaning equipment and stretchers…,http://indeed.com/rc/clk?jk=f6eb4b725e84df24&fccid=6ad815357281c15a&vjs=3
Stone Mason/Concrete Laborer,North Country Contracting,"Huntsville, ON",6 days ago,2021-01-21,$20 - $32 an hour,"Must have driver licence (For work truck use) and own way of transportation to and from local meeting site (work shop).
1 or more years experience (preferred).",http://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DEdNUxDCYLTegZssvWy-Wr0dkabKCbS0aseAuhcxOqPr4v1uI6knY4HuzGQCWfSsqeeVqSdp4CKBNMBgvWc0kn0DF9ESNsr9VWgyn9FCoJvixwIKfHFlJhOagNBY8FpJslhVXcE0s9TsYxyh3Gthj0p8ZlZQBtXoJvkJuTgW_Lw-ZqRLeG2VFUDnTdF-jzzwecTcVMNZFY02abwCCozJSuOQ5iF6iECbqw6y6FXJQO8jVK4x27KfBCLvttdcDBr-hTyj1K1Iwvw0VkkZc_SH5iPE3_0W-IaZGym0yTrzesevhogTOaj6XJpsYNk9ZF6toGRYCQmXTGQyPDCjAvKb0wg4wHwjYMDTDRuH3_pPv-XVX5skK4KGIb89yOvpFK3Lo40piV7Bshqm1HX5TH45WLqn7-mzP6yRbcbtojLCa-gqO3cEghODhZabtu9aKmcv0=&p=14&fvj=1&vjs=3
veterinary attendant,Campus Estates Animal Hospital Professional Corpor...,"Guelph, ON",4 days ago,2021-01-21,$14.25 - $17.00 an hour,"College, CEGEP or other non-university certificate or diploma from a program of 3 months to less than 1 year.
Prepare food and feed animals.",http://indeed.com/rc/clk?jk=2a1095ce8813e877&fccid=3e94a470c1d8d9d7&vjs=3
Data Analyst,Aecon Group,"Toronto, ON",1 day ago,2021-01-21,,"Assist with development of data management strategies.
Support the implementation of rules and procedures for data sharing.",http://indeed.com/rc/clk?jk=0d152a5867cb77bd&fccid=142c552fa53fee9b&vjs=3
systems technical support analyst,AXIOM PLASTICS INC,"Aurora, ON",2 days ago,2021-01-21,$30.29 an hour,"Consult user guides, technical manuals and other documents to research and implement solutions.
Communicate electronically and in person with computer users…",http://indeed.com/rc/clk?jk=1604f42a94846980&fccid=f274e0ccbf1b67c5&vjs=3
RESEARCH COORDINATOR (I),McMaster University,"Hamilton, ON",3 days ago,2021-01-21,,"Bachelor's degree in a relevant field of study.
Acts as a resource for the development of protocols, study documents, operations of study management, and…",http://indeed.com/rc/clk?jk=753f4157f7a336b5&fccid=3623ed8ea4c76fba&vjs=3
Event and Community Awareness Coordinator,Family and Children Services of Waterloo,"Kitchener, ON",6 days ago,2021-01-21,"$60,626 - $76,006 a year","The Event and Community Awareness Coordinator will be responsible for the planning and implementation of fundraising and related events, public awareness,…",http://indeed.com/rc/clk?jk=f0807f69d8282f34&fccid=a8c5cdfd1a8450df&vjs=3
Enrollment Officer,CDI College,"Mississauga, ON",13 days ago,2021-01-21,,"Work in a professional, courteous and helpful manner with admissions, financial/administrative staff, compliance managers, and potential students.",http://indeed.com/rc/clk?jk=8b8a9a9ffa2b34da&fccid=f5f55f86dc66cfce&vjs=3
AutoCAD Draftsman/woman,AMG Metals Inc,"Brampton, ON",2 days ago,2021-01-21,"$40,000 - $45,000 a year","Must have a valid drivers license and clean drivers abstract.
Should be able to read and interpret structural and architectural drawings supplied by customers…",http://indeed.com/company/AMG-Metals-Inc/jobs/AutoCAD-Draftsman-Woman-0d8954af4e29bf06?fccid=db0c3a6890a8fef1&vjs=3
Store Associate,Dollarama L.P.,"Barrie, ON",24 days ago,2021-01-21,,"Assisting in the receiving and stocking of all merchandise;
Working as part of a team, the Store Associate performs all general operations and merchandising…",http://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9nw0IMIeL5kumNJ7V6pqSmBHXJLzIzJcQy5ZQepvnhoh5nogz2O0m6Bcg5CXJo38f7h982jR9IZImEJzYuL_Vi5zC4G3OqNDJWglkJFctqC-4d8sb_HBv7NAQHV4AgsBDAEDkF1kt8vekIHYo3drAF4Jz55bd7GWBbNFgSkfCUbAld1eyI_W_0olP5Wxho6Gj3wGY9CvUmVDfg7XdDiOoRg9GLkDx57_ri2FFBL3ZQgOs8pQpyz2y1PAv0so7htDWSHJ2X6M30s-8LgMB-KiLck_o4U7sFMsVTqIdOaSTSj22eZppEIwppgL_5m0aFVrvomz8Gy3L_lOvUq8Rcgkdn9SpZ5DSauSurxigsZOMDYk2tMltJkxVXHYsDbony4pf9Q3i3tvATzhssCEx_IpZqjrI8r23PpNgqZN9pGCo7Ht5YtR66-Sb&p=7&fvj=1&vjs=3
Night Building Attendant,Amica Senior Lifestyles,"Dundas, ON",3 days ago,2021-01-21,,As the Night Building Attendant you will ensure the safety of our residents overnight while taking care of the community and preparing the team for the day…,http://indeed.com/rc/clk?jk=c849108e9cbb14a5&fccid=ca7bfd3d4cf7f017&vjs=3
Alarm Monitor,Londry Alarms,"Kingston, ON",Today,2021-01-21,$14 - $15 an hour,"Answering telephone and directing client inquiries.
Exceptional people skills, patience and understanding of the customers’ needs and customer service…",http://indeed.com/company/Londry-Alarms/jobs/Alarm-Monitor-b7defa15b084c446?fccid=b2b859d5f8158936&vjs=3
Admin Assistant,TD Bank,"Ottawa, ON",Just posted,2021-01-21,,"Represent TD Wealth Private Investment Advice in all activities at the reception desk and as the first point of contact for clients, in-person and on the phone.",http://indeed.com/rc/clk?jk=8af1b129295c78b0&fccid=d7114f1cac8d0711&vjs=3
Crew Member,Dairy Queen,"Kingston, ON",5 days ago,2021-01-21,$14.25 an hour,"Practice established food handling procedures and meet any local health regulations.
Exhibit good manners, proper personal hygiene and promptness.",http://indeed.com/company/Dairy-Queen/jobs/Crew-Member-799c0d6da903001b?fccid=999cdc81874b9237&vjs=3
supervisor - vegetable packing,Di Ciocco Farms Eastside Inc,"Leamington, ON",8 days ago,2021-01-21,$18 - $22 an hour,"No degree, certificate or diploma.
Fruit and vegetable processing plant.
Establish methods to meet work schedules and co-ordinate work activities with other…",http://indeed.com/rc/clk?jk=0a0652da483a4612&fccid=e5f958e209a31b92&vjs=3
Asphalt Operator / Winter Control Operator,The City of Guelph,"Guelph, ON",6 days ago,2021-01-21,$27.32 an hour,Successful candidates will be required to provide a current driver’s abstract prior to their start date to confirm their licence is held in good standing and…,http://indeed.com/rc/clk?jk=a47520fbaf4abf26&fccid=e14299c90c5f08eb&vjs=3
Housekeeping Room Attendant,Sandman Hotel Group,"Oakville, ON",1 day ago,2021-01-21,,"Responds to guests and staff inquiries, requests and complaints in a prompt and courteous manner.
The Room Attendant will promote a positive image of the…",http://indeed.com/rc/clk?jk=0c20bb702e6b3e26&fccid=0be743ff173b394d&vjs=3
Screener,Northview Retirement,"Hamilton, ON",24 days ago,2021-01-21,$14.25 - $16.00 an hour,"Multiple day and evening shifts available.
Will require every other weekend days and evening shifts.
Part-time hours: 20-40 per week.",http://indeed.com/company/Sheridan-Lodge/jobs/Screener-76f31c6b3a3d64bd?fccid=dfee4d13a3fd030f&vjs=3
Packaging Associate,Facedrive Inc,"Scarborough, ON",8 days ago,2021-01-21,$12 - $18 an hour,"Associates will also monitor incoming orders and product shipments.
Associates will help package and keep track of inventory.
Job Types: Full-time, Part-time.",http://indeed.com/company/Facedrive-Inc/jobs/Packaging-Associate-c95fe9117b3f8a73?fccid=10ce45e1891b6cc9&vjs=3
packaging machine operator - chemical processing,Tech Stone Inc.,"Hamilton, ON",14 days ago,2021-01-21,$17 an hour,"No degree, certificate or diploma.
Adjust processing machines and equipment.
Perform other labouring and elemental activities.
Clean and maintain work space.",http://indeed.com/rc/clk?jk=a7d1fb9d5a2126e5&fccid=0ac7ac8e11d1d0cc&vjs=3
Library CEO,Municipality of North Perth,"Listowel, ON",Just posted,2021-01-21,$43.58 - $53.51 an hour,"University degree from an accredited University, or equivalent combination of education and experience which could include an Excel Certificate in managing a…",http://indeed.com/rc/clk?jk=21f8ebd61d86106a&fccid=0e8c4f7a79c7adad&vjs=3
Junior Parts Person,Brandt,"Mississauga, ON",Today,2021-01-21,,"Unloading, receiving, and storing incoming parts and other materials in the warehouse and yard.
Inventory control of all incoming and outgoing parts.",http://indeed.com/rc/clk?jk=49370ac7c575b6a1&fccid=a3cadf55c2eb1a08&vjs=3
Life Enrichment Coordinator,Amica Senior Lifestyles,"Stoney Creek, ON",14 days ago,2021-01-21,,"Valid driver’s license and/or special class license (or willingness and ability to obtain).
Creative, enthusiastic approach to program development and special…",http://indeed.com/rc/clk?jk=d982040f301f8ab6&fccid=ca7bfd3d4cf7f017&vjs=3
Private Nanny,Andrew Fogliato,"Newmarket, ON",2 days ago,2021-01-21,$15 - $16 an hour,"Very friendly but she likes to be around the kids all the time so you must be comfortable with dogs.
My wife and I are looking for a responsible nanny for our 2…",http://indeed.com/company/Andrew-Fogliato/jobs/Private-Nanny-6aa26c3638406e17?fccid=284cf9f8d87867ca&vjs=3
Full Time Warehouse Associate,Goodfood Market Corp.,"Mississauga, ON",2 days ago,2021-01-21,$15 an hour,"Inventory: responsible for moving ingredients from the receiving dock to the storage spaces to store them, as well as distributing the right ingredients…",http://indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BCn-txRsLg8wA5H91nsFwFfoLUt0dtMYTJY9GhVTcYKCRuoH-_Jcv6JgLM8L3p8MtCSRLlXDDrQ1xfjWSFCRb45mNO2gA-D36ZRW15hjD0HSLX6mQcy-vXAEQI-sFH39qdWLIhYlb0YQAWwdH8b0lJOGOARwgAoeKTS0VYOE4LSJQqY71RMmTdeFPgARGQf4TsFsh0vg0X4ZrwDR5x2YFXQYyb_wV2BUDJFU26AMW-omTBK0a7TcRpko8t-xdIa-DwSQjGc5Lw1kWfzAoH4FBnuTCN-xM6qqmgQvrj0pvB2AVr9P91cf1KTqTa8LwOoFBTgIOctyH8V5teT3Jp9PWwwjOqcSl6UCBG6YATjIFLqaSArLpcmfGb6Va0RpgKkQ1tWOyzym-bzkMWMw2bo1oY&p=7&fvj=0&vjs=3
Pt cashier,Michaels,"Belleville, ON",4 days ago,2021-01-21,,"Ensure all customers receive a fast and friendly checkout experience.
Participate in the truck un-load and stocking processes to ensure truck standards are…",http://indeed.com/rc/clk?jk=76d247ebbc574d2d&fccid=7bec89cb1b3b9073&vjs=3
accounting assistant,R-PE SURVEYING LTD.,"Woodbridge, ON",1 day ago,2021-01-21,$25 - $28 an hour,"Store, update and retrieve financial data.
Business Equipment and Computer Applications.",http://indeed.com/rc/clk?jk=e6928e621a668358&fccid=91e0f29a0e9f7a91&vjs=3
Vegetable Packer,Armstrong Top Pack Ltd.,"Leamington, ON",8 days ago,2021-01-21,$14.25 an hour,Accommodations for disabilities are available upon request for candidates taking part in all aspects of the employment selection process.,http://indeed.com/company/Armstrong-Top-Pack-Ltd./jobs/Vegetable-Packer-f1ab6ccac8191ee0?fccid=0176b67a017ddd64&vjs=3
administrative assistant,J & G Forwarding,"Brampton, ON",7 days ago,2021-01-21,$24.50 an hour,"Answer telephone and relay telephone calls and messages.
Open and distribute regular and electronic incoming mail and other material and co-ordinate the flow of…",http://indeed.com/rc/clk?jk=38b6773a6b6542f2&fccid=f1baab3f018e8370&vjs=3
Investment Specialist - Watford,Libro Credit Union,"Watford, ON",Just posted,2021-01-21,,Libro welcomes applications from persons with disabilities and accommodations are available on request for candidates taking part in all aspects of the…,http://indeed.com/rc/clk?jk=82254eae2e4789df&fccid=8ff3101a1c0072d6&vjs=3
Production Materials Handler,Baylis Medical,"Mississauga, ON",Just posted,2021-01-21,,"Purposeful work that drives career development, with opportunities to learn and grow by way of on-site training, workshops, and lunch and learn sessions.",http://indeed.com/rc/clk?jk=ac24e1d7864465b1&fccid=45bd8031192d76dd&vjs=3
"headmaster/mistress, private school",The Caldwell Partners International Inc.,"Toronto, ON",2 days ago,2021-01-21,"$200,000 - $250,000 a year","Prepare and administer institution or program budget.
Review programs to ensure conformance to school board or provincial standards.",http://indeed.com/rc/clk?jk=cc0c7cadcdc0eb30&fccid=5a2b9ced6e6f3eb4&vjs=3
Bookkeeper,Sun Country Leisure Products-Northern Patio,"St. Catharines, ON",1 day ago,2021-01-21,$20 - $25 an hour,"Strong understanding of double entry bookkeeping and GAAP.
A/P, A/R, cash management.
Tax filings and regulatory reports.
Job Types: Full-time, Permanent.",http://indeed.com/company/Sun-Country-Leisure-Products-Inc/jobs/Bookkeeper-ea0f3725c3d166d9?fccid=9a2c8b30279f420d&vjs=3
Night Auditor/Front Desk Agent,Travelodge Barrie on Bayfield,"Barrie, ON",Today,2021-01-21,$14 - $15 an hour,"Balance cash and complete balance sheet, cash reports, and related forms.
Answer telephone and relay calls and messages.
Assist guests with special needs.",http://indeed.com/company/Wyndham-Destinations/jobs/Night-Auditor-Front-Desk-Agent-e22479bee284b630?fccid=36df2b3f9aaba10d&vjs=3
Installer,KMA Fabricating,"Brantford, ON",2 days ago,2021-01-21,$18 - $22 an hour,"Holds a valid G class drivers license.
Pick and package material for orders.
Assembly and dismantle of warehouse pallet racking products (travel to site).",http://indeed.com/company/KMA-Fabricating/jobs/Installer-c8734143a82af9c3?fccid=83015182ff548d1d&vjs=3
"1 Permanent Part Time Housekeeping Worker, Housekeeping",Woodstock Hospital,"Woodstock, ON",2 days ago,2021-01-21,,"Physically able to perform the normal duties of the job, which includes: mopping of floors, vacuuming, bending, lifting, walking throughout shift, wiping…",http://indeed.com/rc/clk?jk=dae86a037682daff&fccid=b498a08bf47bd474&vjs=3
Operator,Southlake Regional Health Centre,"Newmarket, ON",2 days ago,2021-01-21,,"Demonstrated professional and courteous telephone mannerism.
The Central Communications Operator is responsible for handling all internal and external inquiries…",http://indeed.com/rc/clk?jk=eb02c7f0b3fd2dad&fccid=8401873f8952fa63&vjs=3
Manager,Tim Hortons | 1276345 Ontario Inc.,"Lincoln, ON",1 day ago,2021-01-21,,"Business certificate, training or experience an asset.
Pride yourself on building relationships with guests and your team.
Must be able to lift 25 lbs.",http://indeed.com/rc/clk?jk=227b88a5d14223dc&fccid=4b16d6cba3beba72&vjs=3
Administrative Assistant,Antec Appraisal Group - Waterloo,"Waterloo, ON",1 day ago,2021-01-21,"$40,000 - $50,000 a year","O Willingness to travel locally - Valid driver’s license.
Answering and routing phone calls.
Administrative assistant: 1 year (Preferred).",http://indeed.com/company/Antec-Appraisal-Group---Waterloo/jobs/Administrative-Assistant-9686a08d94145219?fccid=d89867389db06ff6&vjs=3
Guest Service Attendant,Petro Canada Gas Station and Convenience Store,"Cobourg, ON",10 days ago,2021-01-21,$14 an hour,"We have shields in place and wear face masks. plus an extensive cleaning program.
Cleaning, stocking shelves and light duty work outside required.",http://indeed.com/company/Petro-Canada/jobs/Guest-Service-Attendant-67ed4efd12c5cdf4?fccid=232c9ae183cedb88&vjs=3
Post Office Assistant - Term - Queenston,Canada Post - Postes Canada,"Queenston, ON",1 day ago,2021-01-21,$17.73 an hour,"Provide customers with information and forms.
Training and/or experience interacting with the public in a retail and/or service environment, including sales and…",http://indeed.com/rc/clk?jk=9d19c5d6935444b2&fccid=374645c6f57513c7&vjs=3
Cook,The Wellington Retirement Home,"Hamilton, ON",Today,2021-01-21,$18.73 an hour,"Chef training or culinary certificate or diploma from a program that meets the requirements of the OLTCH Act, or.
Must possess valid Food Handler’s Certificate.",http://indeed.com/company/The-Wellington-Long-Term-Care-&-Retirement-Home/jobs/Cook-6a9c2f550689351e?fccid=cae2d31c2127a5ca&vjs=3
Production Assembler,Golden Windows Limited,"Kitchener, ON",3 days ago,2021-01-21,$17 - $19 an hour,"Ability to read and interpret detailed shop drawings.
Golden Windows has remained open throughout the COVID-19 pandemic and we have taken proactive steps to…",http://indeed.com/company/Golden-Windows-Limited/jobs/Production-Assembler-6ba0f00c2b618a9c?fccid=22825a098fe829c8&vjs=3
Production Clerk,Contract Supply Corp. Ltd.,"Mississauga, ON",10 days ago,2021-01-21,$17 - $18 an hour,"Reviews and maintains documents such as production schedules, work orders, and staffing tables to determine the priority of personnel and material requirements.",http://indeed.com/company/Contract-Supply-Corp.-Ltd./jobs/Production-Clerk-1f098269e1aefd1b?fccid=d2f50c41f9bce273&vjs=3
Process Operators,Barrick Gold Corporation,"Hemlo, ON",2 days ago,2021-01-21,,"Valid driver’s license required.
A comprehensive compensation package including bonuses benefits, and stock purchase plans where applicable.",http://indeed.com/rc/clk?jk=0fdc67262d70f599&fccid=71e6ca9fd4db82cf&vjs=3
Procurement Clerk,Total Health Centre,"Mississauga, ON",1 day ago,2021-01-21,,"To continue our operations we have proactively adopted modified working practices, and taken all the warranted precautions to mitigate the risk of COVID-19…",http://indeed.com/company/Total-Health-Centre/jobs/Procurement-Clerk-9aa0c5aa09fe64a0?fccid=0e2b0778c82679c7&vjs=3
Product Manager,Techfact Inc.,"Toronto, ON",1 day ago,2021-01-21,$60 an hour,"Highly collaborative and ""driver"" personality - Job requires coordination with marketing, sales, customer experience, IT, on-ground technicians, etc.",http://indeed.com/company/Techfact-Inc./jobs/Product-Manager-da55ea908ccda067?fccid=1b04fc6f3c228021&vjs=3
Product Manager,Techfact Inc.,"Toronto, ON",1 day ago,2021-01-21,$60 an hour,"Highly collaborative and ""driver"" personality - Job requires coordination with marketing, sales, customer experience, IT, on-ground technicians, etc.",http://indeed.com/company/Techfact-Inc./jobs/Product-Manager-da55ea908ccda067?fccid=1b04fc6f3c228021&vjs=3
Administrative Assistant and Receptionist,Umbrella Surface Technologies,"Stoney Creek, ON",22 days ago,2021-01-21,"$40,000 - $45,000 a year","Assist callers by answering questions or directing call through to appropriate person.
Responding to lead inquiries from various sources.",http://indeed.com/company/Umbrella-Surface-Technologies/jobs/Administrative-Assistant-Receptionist-b4026fe3c8ab5874?fccid=d372f5c40caee037&vjs=3
Organic Vegetable Farm Worker,Firmly Rooted,"Belgrave, ON",3 days ago,2021-01-21,$15 - $17 an hour,"A full G driver’s license is also preferred.
Preparing for market, packing orders.
Manage packing of CSA boxes and restaurant orders.",http://indeed.com/company/Firmly-Rooted/jobs/Organic-Vegetable-Farm-Worker-f37265f61b9dc83d?fccid=9f15f7da1068d4b6&vjs=3
